address;agr_type;id (main_data.csv);name;source;type;url;lat;lon;photos_number;rating;reviews_number
ул. Марата, 11;культура;81;ЦСИ Огонь;yandex;Музей;https://yandex.ru/maps/org/tssi_ogon/228915248836/;52,28858;104,27589;3;4,1;16
ул. Сухэ-Батора, 5;культура;82;Музей имени М. М. Кожова при Игу;yandex&google;Музей;https://yandex.ru/maps/org/muzey_imeni_m_m_kozhova_pri_igu/1018430047/;52,28875;104,282344;20;4,2;15
ул. Сергеева, 3;культура;83;Перевернутый дом;yandex&google;Музей;https://yandex.ru/maps/org/perevernuty_dom/233606706147/;52,264594;104,222926;14;3;16
ул. Карла Маркса, 13;культура;84;Отдел книжного фонда;yandex;Музей;https://yandex.ru/maps/org/otdel_knizhnogo_fonda/93236614792/;52,281529;104,284098;11;3,9;0
ул. Лермонтова, 83, корп. И, ИркутскАмфитеатр;культура;85;Музей истории НИИрТУ;yandex;Музей;https://yandex.ru/maps/org/muzey_istorii_niirtu/1088256210/;52,262042;104,26233;7;3,7;2
ул. Карла Либкнехта, 2этаж цокольный;культура;86;Афат;yandex&2gis;Музей;https://yandex.ru/maps/org/afat/161512915389/;52,285737;104,287254;40;3,5;4
ул. Ленина, 48ДС Труд, этаж 2;культура;87;Музей спортивной славы Приангарья;yandex&2gis;Музей;https://yandex.ru/maps/org/muzey_sportivnoy_slavy_priangarya/183359800431/;52,277099;104,2835;4;4,3;2
ул. Лапина, 17;услуги;88;Lovely dolls;yandex;Курсы и мастер-классы;https://yandex.ru/maps/org/lovely_dolls/163596259301/;52,27938;104,28647;6;0;0
ул. Степана Разина, 11;культура;89;Арт Хаус;yandex;Музей;https://yandex.ru/maps/org/art_khaus/63449896217/;52,285682;104,274058;1;2,7;0
Подгорная ул., 27;культура;90;Музей ретротехники;yandex;Музей;https://yandex.ru/maps/org/muzey_retrotekhniki/99090599631/;52,27859;104,29864;0;3,9;1
ул. Сухэ-Батора, 12;культура;91;Арт-Хаус;yandex;Музей;https://yandex.ru/maps/org/art_khaus/52563683999/;52,284428;104,28404;1;2,4;0
ул. Карла Маркса, 14;культура;92;Иркутский академический драматический театр имени Н.П. Охлопкова;yandex&google&2gis;Театр;https://yandex.ru/maps/org/irkutskiy_akademicheskiy_dramaticheskiy_teatr_imeni_n_p_okhlopkova/1134799147/;52,277443;104,281842;371;4,6;857
ул. Седова, 29;культура;93;ОГАУК Иркутский областной государственный музыкальный театр имени Н.М. Загурского;yandex&google&2gis;Театр;https://yandex.ru/maps/org/ogauk_irkutskiy_oblastnoy_gosudarstvenny_muzykalny_teatr_imeni_n_m_zagurskogo/1068557095/;52,274595;104,291874;304;4,7;760
ул. Ленина, 23, Иркутск;культура;94;Иркутский областной театр юного зрителя имени А. Вампилова;yandex&google&2gis;Театр;https://yandex.ru/maps/org/irkutskiy_oblastnoy_teatr_yunogo_zritelya_imeni_a_vampilova/1056372017/;52,277537;104,285267;666;4,5;364
Байкальская ул., 32;культура;95;Театр кукол Аистёнок;yandex&google&2gis;Театр;https://yandex.ru/maps/org/teatr_kukol_aistyonok/1063655250/;52,275449;104,303004;192;4,6;456
ул. Мухиной, 13А;культура;96;Городской театр народной драмы;yandex&google&2gis;Театр;https://yandex.ru/maps/org/gorodskoy_teatr_narodnoy_dramy/1109085520/;52,227149;104,312726;187;4,7;470
ул. Кожова, 38;культура;97;Новая драма;yandex&google;Театр;https://yandex.ru/maps/org/novaya_drama/17955001472/;52,272631;104,293323;12;4,7;23
ул. Октябрьской Революции, 20В этаж 1;культура;98;Театр Внутренней Практики Сергея Помазана;yandex&google&2gis;Театр;https://yandex.ru/maps/org/teatr_vnutrenney_praktiki_sergeya_pomazana/70460768768/;52,289164;104,303082;119;4,6;85
пер. Волконского, 8;культура;99;Театр пилигримов;yandex&google;Театр;https://yandex.ru/maps/org/teatr_piligrimov/1039346774/;52,287204;104,30409;18;4,5;18
ул. Трилиссера, 91Б;культура;100;Иркутский Бейби театр;yandex;Театр;https://yandex.ru/maps/org/irkutskiy_beybi_teatr/159296005834/;52,275551;104,317486;5;3,9;1
ул. Костычева, 1;культура;101;Театр Александра Гречмана;yandex&google;Театр;https://yandex.ru/maps/org/teatr_aleksandra_grechmana/91638110717/;52,237015;104,279663;16;4,2;23
ул. Ленина, 23;культура;102;АлександриЯ;yandex;Театр;https://yandex.ru/maps/org/aleksandriya/46177405792/;52,277654;104,285269;2;0;0
ул. Академика Курчатова, 13А, Иркутск;культура;103;Под знаком Водолея;yandex;Театр;https://yandex.ru/maps/org/pod_znakom_vodoleya/1056028824/;52,256157;104,264522;2;4,2;8
ул. Карла Маркса, 40 этаж 3;культура;104;Театр танца Владимира Лопаева Ргодвижение;yandex&2gis;Театр;https://yandex.ru/maps/org/teatr_tantsa_vladimira_lopayeva_rgodvizheniye/1751637008/;52,291413;104,297949;5;4,4;3
ул. Ленина, 8 МГЛУ ЕАЛИ;культура;105;Молодежный театр Эксперимент;yandex;Театр;https://yandex.ru/maps/org/molodezhny_teatr_eksperiment/1251902682/;52,288673;104,278235;2;0;0
ул. Пискунова, 54;культура;106;Alter Homo;yandex&google&2gis;Театр;https://yandex.ru/maps/org/alter_homo/14044867535/;52,268777;104,310125;1;3,3;10
Хасановский пер., 1;культура;107;Дом актёра;yandex;Дом культуры;https://yandex.ru/maps/org/dom_aktyora/1110602840/;52,278171;104,282225;9;4,3;27
