id;exp_pht;exp_rat;exp_rev;Популярность
425;0,010242086;0,5;0,000221484;0,510463570
426;0,003724395;0;0;0,003724395
871;0,013035382;0;0;0,013035382
428;0,003724395;0;0,000221484;0,003945879
429;0,015828678;0,84;0,000664452;0,856493130
430;0,002793296;0,5;0,000442968;0,503236264
432;0,005586592;0;0,000221484;0,005808076
436;0,000931099;0;0;0,000931099
437;0,002793296;0;0;0,002793296
438;0,006517691;0;0;0,006517691
440;0;0;0;0
441;0;0;0;0
442;0,013035382;0,5;0,000442968;0,513478350
443;0,000931099;0;0;0,000931099
872;0,003724395;0;0;0,003724395
447;0,001862197;0;0;0,001862197
448;0;0;0;0
450;0,011173184;0;0;0,011173184
451;0,001862197;0;0;0,001862197
452;0,054003724;0,58;0,018826135;0,652829859
453;0,015828678;0;0;0,015828678
454;0;0;0;0
456;0,003724395;0;0;0,003724395
461;0,004655493;0;0,000221484;0,004876977
462;0,003724395;0;0;0,003724395
465;0;0;0;0
874;0,004655493;0;0;0,004655493
470;0,003724395;0;0;0,003724395
471;0;0,6;0;0,6
474;0,974860335;0,96;0,121373200;2,056233536
475;0,001862197;0,82;0,001771872;0,823634069
477;0;0;0;0
478;0,027932961;0,96;0,005537099;0,993470059
479;0,168528864;0,96;0,014174972;1,142703836
480;0,002793296;0,76;0,000221484;0,763014780
481;0,143389199;0,78;0,138648948;1,062038147
482;0,042830540;0,98;0,007751938;1,030582478
483;0,010242086;0,72;0,001550388;0,731792473
484;0,001862197;0,72;0,001107420;0,722969617
485;0;0,52;0,000221484;0,520221484
486;0;0;0;0
487;0,002793296;0,58;0,001550388;0,584343684
488;0,002793296;0;0;0,002793296
489;0;0;0;0
490;0,003724395;0;0;0,003724395
491;0,000931099;0;0;0,000931099
492;0,158286778;0,94;0,081063123;1,179349901
493;0,503724395;0,9;0,099667774;1,503392169
494;0,229050279;0,78;0,048504983;1,057555263
495;0,207635009;0,94;0,058250277;1,205885286
496;0,420856611;0,96;0,085714286;1,466570897
497;0,018621974;0,8;0,004872647;0,823494621
498;0,171322160;0,96;0,034330011;1,165652171
499;0,019553073;0,94;0,006866002;0,966419075
500;0,507448790;0,92;0,047397564;1,474846353
