admin_reg;id (adminbounds_data_total.csv)
Куйбышевский;560
Свердловский;561
Октябрьский;562
Свердловский;563
Свердловский;564
Октябрьский;565
Кировский;566
Октябрьский;567
Куйбышевский;877
Свердловский;568
Куйбышевский;569
Октябрьский;570
Ленинский;571
за городом;572
Свердловский;573
за городом;574
Октябрьский;575
Октябрьский;576
Куйбышевский;577
Кировский;578
Кировский;579
Куйбышевский;580
Октябрьский;581
Октябрьский;582
Кировский;583
Куйбышевский;584
Кировский;585
Кировский;878
Октябрьский;586
Ленинский;587
Свердловский;588
Кировский;589
Ленинский;590
Кировский;591
Кировский;592
Октябрьский;593
Кировский;594
Октябрьский;595
за городом;596
за городом;597
за городом;598
за городом;599
за городом;600
за городом;601
за городом;602
за городом;603
за городом;604
за городом;605
за городом;606
Кировский;607
Кировский;608
Куйбышевский;609
Октябрьский;610
Куйбышевский;611
Кировский;612
Кировский;613
Кировский;614
Кировский;615
Кировский;616
Кировский;617
Кировский;618
Кировский;619
Кировский;620
Куйбышевский;879
Куйбышевский;621
Октябрьский;622
Кировский;623
Куйбышевский;624
Свердловский;625
Октябрьский;626
Свердловский;627
Октябрьский;880
Ленинский;628
Ленинский;629
Свердловский;630
Свердловский;631
Ленинский;632
Свердловский;633
Ленинский;634
за городом;635
Свердловский;636
Кировский;881
Свердловский;637
за городом;638
за городом;639
Кировский;640
Кировский;641
Свердловский;642
Кировский;643
Октябрьский;644
Октябрьский;645
Свердловский;646
Кировский;647
Октябрьский;648
Октябрьский;649
Октябрьский;650
Кировский;651
Октябрьский;652
Октябрьский;653
Октябрьский;654
Кировский;655
Кировский;656
Кировский;657
Куйбышевский;658
Кировский;659
Кировский;660
Октябрьский;661
Октябрьский;662
Свердловский;663
Кировский;664
Октябрьский;665
Кировский;666
Октябрьский;667
Кировский;668
Октябрьский;669
Октябрьский;670
Октябрьский;671
Свердловский;672
Кировский;673
Кировский;674
Кировский;675
Октябрьский;676
Свердловский;677
Кировский;678
Октябрьский;679
Октябрьский;680
Октябрьский;681
Октябрьский;682
Кировский;683
Октябрьский;684
Октябрьский;685
Кировский;686
Октябрьский;687
Октябрьский;688
Кировский;689
Свердловский;690
Октябрьский;691
Октябрьский;692
Октябрьский;693
Октябрьский;694
Свердловский;695
Октябрьский;696
Октябрьский;697
Октябрьский;698
Октябрьский;699
Октябрьский;700
Свердловский;701
Куйбышевский;702
Октябрьский;703
Октябрьский;704
Кировский;705
Кировский;706
Кировский;707
Октябрьский;708
Кировский;709
Октябрьский;710
Октябрьский;711
Октябрьский;712
Октябрьский;713
Октябрьский;714
Октябрьский;715
Кировский;716
Октябрьский;717
Октябрьский;718
Ленинский;719
Октябрьский;720
Октябрьский;721
Куйбышевский;722
Октябрьский;723
Кировский;724
Октябрьский;725
Ленинский;726
Куйбышевский;727
Кировский;728
Октябрьский;729
Октябрьский;730
Кировский;731
Кировский;732
Куйбышевский;733
Свердловский;734
Октябрьский;735
Октябрьский;736
Кировский;737
Октябрьский;738
Октябрьский;739
Кировский;740
Октябрьский;741
Октябрьский;742
Октябрьский;743
Октябрьский;744
Свердловский;745
Октябрьский;746
Куйбышевский;747
Куйбышевский;748
Свердловский;749
Октябрьский;750
Кировский;751
Октябрьский;752
Кировский;753
Ленинский;754
Кировский;755
Свердловский;756
Кировский;757
Октябрьский;758
Октябрьский;759
за городом;760
Октябрьский;761
Октябрьский;762
Кировский;763
Кировский;764
Ленинский;765
Октябрьский;766
Кировский;767
Кировский;768
Свердловский;769
Кировский;770
Октябрьский;771
Свердловский;772
Октябрьский;773
Кировский;774
Октябрьский;775
Октябрьский;776
Кировский;777
Октябрьский;778
Октябрьский;779
Куйбышевский;780
Октябрьский;781
Октябрьский;782
Октябрьский;783
Кировский;784
Свердловский;785
Свердловский;786
Кировский;787
Кировский;788
Свердловский;789
Октябрьский;790
Куйбышевский;791
Октябрьский;792
за городом;793
Свердловский;794
Ленинский;795
Кировский;796
Октябрьский;797
Октябрьский;798
Кировский;799
Октябрьский;800
Кировский;801
Свердловский;802
Октябрьский;803
Октябрьский;804
Октябрьский;805
Октябрьский;806
Свердловский;807
Кировский;808
Октябрьский;809
Куйбышевский;810
Свердловский;811
Ленинский;812
Свердловский;813
Куйбышевский;814
Куйбышевский;815
Свердловский;816
Кировский;817
Октябрьский;818
Куйбышевский;819
Свердловский;820
за городом;821
Октябрьский;822
Октябрьский;823
Свердловский;824
за городом;825
Октябрьский;826
Свердловский;827
Октябрьский;828
Октябрьский;829
Октябрьский;830
Кировский;831
Ленинский;832
Октябрьский;833
Октябрьский;834
Октябрьский;835
Куйбышевский;836
Ленинский;837
Октябрьский;838
Октябрьский;839
Куйбышевский;840
Куйбышевский;841
Кировский;842
Кировский;843
Кировский;844
Свердловский;845
Кировский;846
за городом;847
Кировский;848
Свердловский;849
Кировский;850
Октябрьский;851
Кировский;852
Кировский;853
Кировский;854
Куйбышевский;855
Куйбышевский;856
Кировский;857
Кировский;858
Кировский;859
Кировский;860
Октябрьский;861
Куйбышевский;862
Октябрьский;863
Кировский;864
Кировский;865
Октябрьский;866
Куйбышевский;1883
Свердловский;1884
Октябрьский;1885
Свердловский;1886
Кировский;1887
Кировский;1888
Куйбышевский;1889
Куйбышевский;1890
Куйбышевский;1891
Кировский;1892
Кировский;1893
Куйбышевский;1894
Кировский;1895
Кировский;1896
Октябрьский;1897
Октябрьский;1898
Кировский;1899
Кировский;1900
Куйбышевский;1901
Куйбышевский;1902
Свердловский;1903
Кировский;1904
Октябрьский;1905
Кировский;1906
Кировский;1907
Октябрьский;1908
Свердловский;1909
Октябрьский;1910
Октябрьский;1911
Кировский;1912
за городом;1913
Свердловский;1914
Ленинский;1915
Октябрьский;1916
Кировский;1917
Октябрьский;1918
Свердловский;1919
Кировский;1920
Свердловский;1921
Кировский;1922
Свердловский;1923
Кировский;1924
Свердловский;1925
Октябрьский;1926
Кировский;1927
Октябрьский;1928
Свердловский;1929
Кировский;1930
Октябрьский;1931
Куйбышевский;1932
Октябрьский;1933
Кировский;1934
Куйбышевский;1935
Октябрьский;1936
Кировский;1937
Свердловский;1938
Октябрьский;1939
Кировский;1940
Свердловский;1941
Октябрьский;1942
Октябрьский;1943
Свердловский;1944
Свердловский;1945
Ленинский;1946
Кировский;1947
Свердловский;1948
Свердловский;1949
Свердловский;1950
Октябрьский;1951
Октябрьский;1952
Свердловский;1953
Кировский;1954
Октябрьский;1955
Свердловский;1956
Свердловский;1957
Октябрьский;1958
Куйбышевский;1959
Октябрьский;1960
Куйбышевский;1961
Кировский;1962
Ленинский;1963
за городом;1964
за городом;1965
Октябрьский;1966
Кировский;1967
Октябрьский;1968
Октябрьский;1969
Свердловский;1970
Кировский;1971
Кировский;1972
Свердловский;1973
Свердловский;1974
Кировский;1975
Свердловский;1976
Ленинский;1977
Октябрьский;1978
Ленинский;1979
Свердловский;1980
Октябрьский;1981
Октябрьский;1982
Октябрьский;1983
Октябрьский;1984
Свердловский;1985
за городом;1986
Свердловский;1987
Октябрьский;1988
Октябрьский;1989
Октябрьский;1990
Свердловский;1991
за городом;1992
за городом;1993
за городом;1994
Кировский;1995
Куйбышевский;1996
Кировский;1997
Кировский;1998
за городом;1999
Кировский;2000
Кировский;2002
Кировский;2003
Кировский;2005
Кировский;2009
Кировский;2010
Кировский;2011
Кировский;2014
Кировский;2016
Кировский;2018
Кировский;2023
Кировский;2024
Кировский;2025
Кировский;2026
Кировский;2030
Кировский;2031
Кировский;2032
Кировский;2036
Кировский;2038
Кировский;2039
Кировский;2040
Кировский;2041
Кировский;2047
Кировский;2048
Кировский;2050
Кировский;2051
Кировский;2052
Кировский;2053
Кировский;2054
Кировский;2056
Кировский;2058
Кировский;2059
Кировский;2060
Кировский;2061
Кировский;2063
Кировский;2070
Кировский;2074
Кировский;2081
Кировский;2086
Кировский;2091
Кировский;2102
Кировский;2103
Кировский;2105
Кировский;2110
Кировский;2112
Кировский;2115
Кировский;2120
Кировский;2123
Кировский;2128
Кировский;2129
Кировский;2132
Кировский;2133
Кировский;2137
Кировский;2154
Кировский;2173
Кировский;2182
Кировский;2188
Кировский;2192
Кировский;2200
Кировский;2202
Кировский;2207
Кировский;2209
Кировский;2212
Кировский;2217
Кировский;2219
Кировский;2220
Кировский;2221
Кировский;2223
Кировский;2236
Кировский;2237
Кировский;2238
Кировский;2239
Кировский;2242
Кировский;2243
Кировский;2245
Кировский;2247
Кировский;2249
Кировский;2250
Кировский;2251
Кировский;2252
Кировский;2260
Кировский;2263
Кировский;2265
Кировский;2267
Кировский;2268
Кировский;2269
Кировский;2270
Кировский;2271
Кировский;2277
Кировский;2278
Кировский;2282
Кировский;2285
Кировский;2293
Кировский;2294
Кировский;2296
Кировский;2302
Кировский;2318
Кировский;2325
Кировский;2333
Кировский;2336
Кировский;2338
Кировский;2351
Кировский;2354
Кировский;2359
Кировский;2362
Кировский;2367
Кировский;2375
Кировский;2384
Кировский;2385
Кировский;2394
Кировский;2395
Кировский;2402
Кировский;2413
Кировский;2426
Кировский;2441
Кировский;2443
Кировский;2445
Кировский;2447
Кировский;2448
Кировский;2453
Кировский;2457
Кировский;2461
Кировский;2462
Кировский;2466
Кировский;2468
Кировский;2478
Кировский;2485
Кировский;2486
Кировский;2488
Кировский;2490
Кировский;2491
Кировский;2493
Кировский;2498
Кировский;2499
Кировский;2503
Кировский;2506
Кировский;2510
Кировский;2512
Кировский;2513
Кировский;2516
Кировский;2518
Кировский;2520
Кировский;2521
Кировский;2524
Кировский;2527
Кировский;2530
Кировский;2534
Кировский;2535
Кировский;2536
Кировский;2537
Кировский;2538
Кировский;2540
Кировский;2541
Кировский;2544
Кировский;2545
Кировский;2547
Кировский;2556
Кировский;2561
Кировский;3572
Кировский;3575
Кировский;3577
Кировский;3578
Кировский;3581
Кировский;3583
Кировский;3584
Кировский;3585
Кировский;3590
Кировский;3592
Кировский;3593
Кировский;3596
Кировский;3601
Кировский;3602
Кировский;3604
Кировский;3605
Кировский;3607
Кировский;3609
Кировский;3610
Кировский;3611
Кировский;3612
Кировский;3613
Кировский;3614
Кировский;3615
Кировский;3618
Кировский;3622
Кировский;3626
Кировский;3631
Кировский;3632
Кировский;3640
Кировский;3646
Кировский;3649
Кировский;3650
Кировский;3652
Кировский;3660
Кировский;3669
Кировский;3671
Кировский;3674
Кировский;3676
Кировский;3678
Кировский;3682
Кировский;3683
Кировский;3689
Кировский;3690
Кировский;3692
Кировский;3695
Кировский;3698
Кировский;3699
Кировский;3700
Кировский;3701
Кировский;3703
Кировский;3708
Кировский;3710
Кировский;3727
Кировский;3749
Кировский;3751
Кировский;3752
Кировский;3756
Кировский;3757
Кировский;3758
Кировский;3759
Кировский;3760
Кировский;3761
Кировский;3762
Кировский;3763
Кировский;3764
Кировский;3765
Кировский;3767
Кировский;3768
Кировский;3769
Кировский;3771
Кировский;3773
Кировский;3776
Кировский;3778
Кировский;3781
Кировский;3782
Кировский;3784
Кировский;3785
Кировский;3786
Кировский;3788
Кировский;3789
Кировский;3790
Кировский;3791
Кировский;3792
Кировский;3794
Кировский;3795
Кировский;3796
Кировский;3798
Кировский;3800
Кировский;3807
Кировский;3809
Кировский;3810
Кировский;3811
Кировский;3812
Кировский;3813
Кировский;3814
Кировский;3818
Кировский;3819
Кировский;3820
Кировский;3821
Кировский;3823
Кировский;3827
Кировский;3829
Кировский;3830
Кировский;3831
Кировский;3836
Кировский;3837
Кировский;3840
Кировский;3845
Кировский;3852
Кировский;3858
Кировский;3859
Кировский;3860
Кировский;3861
Кировский;3865
Кировский;3868
Кировский;3869
Кировский;3870
Кировский;3871
Кировский;3872
Кировский;3874
Кировский;3875
Кировский;3883
Кировский;3896
Кировский;3898
Кировский;3899
Кировский;3900
Кировский;3901
Кировский;3902
Кировский;3903
Кировский;3904
Кировский;3909
Кировский;3916
Кировский;3918
Кировский;3920
Кировский;3923
Кировский;3924
Кировский;3926
Кировский;3927
Кировский;3928
Кировский;3929
Кировский;3930
Кировский;3931
Кировский;3932
Кировский;3933
Кировский;3934
Кировский;3938
Кировский;3942
Кировский;3944
Кировский;3946
Кировский;3947
Кировский;3948
Кировский;3955
Кировский;3956
Кировский;3957
Кировский;3959
Кировский;3960
Кировский;3962
Кировский;3965
Кировский;3969
Кировский;3970
Кировский;3973
Кировский;3974
Кировский;3982
Кировский;3984
Кировский;3985
Кировский;3986
Кировский;3988
Кировский;3989
Кировский;3990
Кировский;3992
Кировский;4002
Кировский;4003
Кировский;4004
Кировский;4005
Кировский;4006
Кировский;4007
Кировский;4008
Кировский;4009
Кировский;4011
Кировский;4012
Кировский;4013
Кировский;4014
Кировский;4016
Кировский;4018
Кировский;4019
Кировский;4026
Кировский;4029
Кировский;4031
Кировский;4032
Кировский;4033
Кировский;4034
Кировский;4035
Кировский;4037
Кировский;4038
Кировский;4039
Кировский;4040
Кировский;4041
Кировский;4042
Кировский;4043
Кировский;4044
Кировский;4045
Кировский;4046
Кировский;4047
Кировский;4048
Кировский;4049
Кировский;4050
Кировский;4052
Кировский;4053
Кировский;4054
Кировский;4055
Кировский;4056
Кировский;4057
Кировский;4058
Кировский;4060
Кировский;4062
Кировский;4063
Кировский;4064
Кировский;4065
Кировский;4067
Кировский;4068
Кировский;4069
Кировский;4070
Кировский;4071
Кировский;4072
Кировский;4073
Кировский;4074
Кировский;4075
Кировский;4076
Кировский;4077
Кировский;4078
Кировский;4079
Кировский;4081
Кировский;4082
Кировский;4083
Кировский;4084
Кировский;4085
Кировский;4088
Кировский;4089
Кировский;4091
Кировский;4098
Кировский;4099
Кировский;4100
Кировский;4102
Кировский;4103
Кировский;4104
Кировский;4105
Кировский;4106
Кировский;4108
Кировский;4110
Кировский;4111
Кировский;4112
Кировский;4113
Кировский;4114
Кировский;4115
Кировский;4116
Кировский;4122
Кировский;4123
Кировский;4124
Кировский;4125
Кировский;4126
Кировский;4159
Кировский;4160
Кировский;4162
Кировский;4163
Кировский;4164
Кировский;4165
Кировский;4166
Кировский;4168
Кировский;4173
Кировский;4174
Кировский;4175
Кировский;4176
Кировский;4177
Кировский;4178
Кировский;4179
Кировский;4185
Кировский;4186
Кировский;4187
Кировский;4189
Кировский;4191
Кировский;4192
Кировский;4193
Кировский;4194
Кировский;4195
Кировский;4198
Кировский;4199
Кировский;4201
Кировский;4202
Кировский;4203
Кировский;4204
Кировский;4205
Кировский;4206
Кировский;4207
Кировский;4208
Кировский;4209
Кировский;4210
Кировский;4211
Кировский;4212
Кировский;4213
Кировский;4215
Кировский;4216
Кировский;4217
Кировский;4218
Кировский;4220
Кировский;4221
Кировский;4222
Кировский;4223
Кировский;4228
Кировский;4229
Кировский;4230
Кировский;4233
Кировский;4237
Кировский;4238
Кировский;4239
Кировский;4240
Кировский;4241
Кировский;4245
Кировский;4246
Кировский;4247
Кировский;4249
Кировский;4250
Кировский;4251
Кировский;4253
Кировский;4254
Кировский;4255
Кировский;4256
Кировский;4257
Кировский;4258
Кировский;4267
Кировский;4268
Кировский;4269
Кировский;4270
Кировский;4271
Кировский;4272
Кировский;4273
Кировский;4275
Кировский;4276
Кировский;4278
Кировский;4280
Кировский;4281
Кировский;4282
Кировский;4283
Кировский;4284
Кировский;4298
Кировский;4299
Кировский;4300
Кировский;4301
Кировский;4302
Кировский;4303
Кировский;4309
Кировский;4329
Кировский;4330
Кировский;4331
Кировский;4332
Кировский;4333
Кировский;4334
Кировский;4338
Кировский;4339
Кировский;4347
Кировский;4348
Кировский;4381
Кировский;4382
Кировский;4410
Кировский;4411
Кировский;4412
Кировский;4413
Кировский;4415
Кировский;4416
Кировский;4417
Кировский;4418
Кировский;4420
Кировский;4421
Кировский;4422
Кировский;4423
Кировский;4427
Кировский;4428
Кировский;4429
Кировский;4431
Кировский;4432
Кировский;4433
Кировский;4434
Кировский;4435
Кировский;4436
Кировский;4437
Кировский;4438
Кировский;4439
Кировский;4440
Кировский;4444
Кировский;4451
Кировский;4452
Кировский;4453
Кировский;4454
Кировский;4455
Кировский;4456
Кировский;4457
Кировский;4459
Кировский;4461
Кировский;4467
Кировский;4471
Кировский;4473
Кировский;4474
Кировский;4475
Кировский;4481
Кировский;4482
Кировский;4483
Кировский;4484
Кировский;4485
Кировский;4486
Кировский;4487
Кировский;4491
Кировский;4492
Кировский;4493
Кировский;4494
Кировский;4495
Кировский;4496
Кировский;4497
Кировский;4498
Кировский;4502
Кировский;4514
Кировский;4519
Кировский;4532
Кировский;4541
Кировский;4542
Кировский;4543
Кировский;4550
Кировский;4551
Кировский;4582
Кировский;4587
Кировский;4591
Кировский;4598
Кировский;4599
Кировский;4600
Кировский;4610
Кировский;4613
Кировский;4624
Кировский;4625
Кировский;4626
Кировский;4627
Кировский;4628
Кировский;4630
Кировский;4634
Кировский;4635
Кировский;4636
Кировский;4637
Кировский;4638
Кировский;4639
Кировский;4640
Кировский;4641
Кировский;4649
Кировский;4652
Кировский;4656
Кировский;4657
Кировский;4658
Кировский;4659
Кировский;4660
Кировский;4661
Кировский;4672
Кировский;4704
Кировский;4706
Кировский;4707
Кировский;4708
Кировский;4723
Кировский;4724
Кировский;4725
Кировский;4726
Кировский;4728
Кировский;4729
Кировский;4730
Кировский;4731
Кировский;4735
Кировский;4736
Кировский;4737
Кировский;4761
Кировский;4762
Кировский;4764
Кировский;4776
Кировский;4780
Кировский;4782
Кировский;4786
Кировский;4787
Кировский;4788
Кировский;4789
Кировский;4790
Кировский;4791
Кировский;4795
Кировский;4801
Кировский;4802
Кировский;4803
Кировский;4805
Кировский;4806
Кировский;4813
Кировский;4815
Кировский;4816
Кировский;4826
Кировский;4828
Кировский;4831
Кировский;4840
Кировский;4841
Кировский;4842
Кировский;4850
Кировский;4851
Кировский;4861
Кировский;4938
Кировский;4940
Кировский;4948
Кировский;4952
Кировский;4964
Кировский;4978
Кировский;4979
Кировский;4980
Кировский;4987
Кировский;4999
Кировский;5002
Кировский;5007
Кировский;5015
Кировский;5018
Кировский;5019
Кировский;5020
Кировский;5026
Кировский;5030
Кировский;5033
Кировский;5036
Кировский;5051
Кировский;5055
Кировский;5060
Кировский;5067
Кировский;5087
Кировский;5107
Кировский;5130
Кировский;5133
Кировский;5139
Кировский;5147
Кировский;5157
Кировский;5163
Кировский;5170
Кировский;5182
Кировский;5183
Кировский;5203
Кировский;5206
Кировский;5216
Кировский;5217
Кировский;5227
Кировский;5229
Кировский;5243
Кировский;5250
Кировский;5251
Кировский;5256
Кировский;5257
Кировский;5262
Кировский;5265
Кировский;5267
Кировский;5271
Кировский;5272
Кировский;5273
Кировский;5274
