day;id (time_data.csv);place_id;source (time_data.csv);time;value
Ср;;2256;google;30.12.1899 8:00:00;0
Ср;;2256;google;30.12.1899 9:00:00;0
Ср;;2256;google;30.12.1899 10:00:00;0
Ср;;2256;google;30.12.1899 11:00:00;0
Ср;;2256;google;30.12.1899 12:00:00;0
Ср;;2256;google;30.12.1899 13:00:00;0
Ср;;2256;google;30.12.1899 14:00:00;0
Ср;;2256;google;30.12.1899 15:00:00;1
Ср;;2256;google;30.12.1899 16:00:00;0
Ср;;2256;google;30.12.1899 17:00:00;0
Ср;;2256;google;30.12.1899 18:00:00;5
Ср;;2256;google;30.12.1899 19:00:00;12
Ср;;2256;google;30.12.1899 20:00:00;26
Ср;;2256;google;30.12.1899 21:00:00;38
Ср;;2256;google;30.12.1899 22:00:00;35
Ср;;2256;google;30.12.1899 23:00:00;19
Чт;;2256;google;30.12.1899 6:00:00;0
Чт;;2256;google;30.12.1899 7:00:00;0
Чт;;2256;google;30.12.1899 8:00:00;0
Чт;;2256;google;30.12.1899 9:00:00;0
Чт;;2256;google;30.12.1899 10:00:00;5
Чт;;2256;google;30.12.1899 11:00:00;5
Чт;;2256;google;30.12.1899 12:00:00;8
Чт;;2256;google;30.12.1899 13:00:00;1
Чт;;2256;google;30.12.1899 14:00:00;0
Чт;;2256;google;30.12.1899 15:00:00;0
Чт;;2256;google;30.12.1899 16:00:00;0
Чт;;2256;google;30.12.1899 17:00:00;3
Чт;;2256;google;30.12.1899 18:00:00;12
Чт;;2256;google;30.12.1899 19:00:00;22
Чт;;2256;google;30.12.1899 20:00:00;28
Чт;;2256;google;30.12.1899 21:00:00;21
Чт;;2256;google;30.12.1899 22:00:00;10
Чт;;2256;google;30.12.1899 23:00:00;3
Пт;;2256;google;30.12.1899 6:00:00;0
Пт;;2256;google;30.12.1899 7:00:00;0
Пт;;2256;google;30.12.1899 8:00:00;0
Пт;;2256;google;30.12.1899 9:00:00;0
Пт;;2256;google;30.12.1899 10:00:00;1
Пт;;2256;google;30.12.1899 11:00:00;1
Пт;;2256;google;30.12.1899 12:00:00;3
Пт;;2256;google;30.12.1899 13:00:00;3
Пт;;2256;google;30.12.1899 14:00:00;3
Пт;;2256;google;30.12.1899 15:00:00;5
Пт;;2256;google;30.12.1899 16:00:00;8
Пт;;2256;google;30.12.1899 17:00:00;19
Пт;;2256;google;30.12.1899 18:00:00;42
Пт;;2256;google;30.12.1899 19:00:00;71
Пт;;2256;google;30.12.1899 20:00:00;94
Пт;;2256;google;30.12.1899 21:00:00;100
Пт;;2256;google;30.12.1899 22:00:00;85
Пт;;2256;google;30.12.1899 23:00:00;78
Пт;;2256;google;30.12.1899 0:00:00;66
Пт;;2256;google;30.12.1899 1:00:00;26
Сб;;2256;google;30.12.1899 6:00:00;0
Сб;;2256;google;30.12.1899 7:00:00;0
Сб;;2256;google;30.12.1899 8:00:00;0
Сб;;2256;google;30.12.1899 9:00:00;0
Сб;;2256;google;30.12.1899 10:00:00;0
Сб;;2256;google;30.12.1899 11:00:00;0
Сб;;2256;google;30.12.1899 12:00:00;0
Сб;;2256;google;30.12.1899 13:00:00;0
Сб;;2256;google;30.12.1899 14:00:00;0
Сб;;2256;google;30.12.1899 15:00:00;0
Сб;;2256;google;30.12.1899 16:00:00;1
